Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),Delta_t,Sum Acceleration (g),Corrected_Acc_X(m/s²),Corrected_Acc_Y(m/s²),Corrected_Acc_Z(m/s²)
1900-01-01 15:32:15.224,COM12,,"0,755","0,039","0,714","4,272","-62,622","3,357","0,956","-41,797","95,383","49,621","73,216","56,121","20,11",96600,"402,67",,,,,,,,,,,,,,"0,1","1,508","6,630304478010461","6,875794688348815","-0,30810389823239426"
1900-01-01 15:32:15.324,COM12,,"0,783","0,04","0,658","1,16","-40,283","0,549","1,137","-45,989","97,053","46,137","73,203","57,031","20,11",96600,"402,67",,,,,,,,,,,,,,"0,1","1,481","6,621896636680789","7,36914609894129","-0,3596312652348921"
1900-01-01 15:32:15.425,COM12,,"0,858","0,034","0,594","2,441","-57,556","1,831","1,368","-50,51","98,564","43,043","73,463","57,954","20,14",96599,"402,76",,,,,,,,,,,,,,"0,101","1,486","7,058322759149067","7,7828438235462425","-0,4096879635069861"
1900-01-01 15:32:15.525,COM12,,"1,021","0,04","0,473","7,019","-98,328","4,761","1,747","-58,519","100,25","38,116","75,335","58,747","20,11",96599,"402,76",,,,,,,,,,,,,,"0,1","1,5339999999999998","8,233712125871117","8,567938125010675","-0,4804256978098209"
1900-01-01 15:32:15.625,COM12,,"0,968","0,024","0,311","5,249","-60,12","1,77","2,313","-67,352","101,827","32,175","79,651","59,150","20,09",96598,"402,84",,,,,,,,,,,,,,"0,1","1,303","7,254492562914164","9,008406858959166","-0,7235354233043458"
1900-01-01 15:32:15.724,COM12,,"0,92","0,029","0,267","2,808","-27,954","0,854","2,884","-70,746","102,832","29,289","81,445","60,411","20,09",96599,"402,76",,,,,,,,,,,,,,"0,099","1,2160000000000002","6,489683375795698","9,193423292615558","-0,6115446087495857"
1900-01-01 15:32:15.824,COM12,,"1,095","0,033","0,28","1,343","-38,696","0,0","3,675","-73,521","103,469","27,781","81,952","61,906","20,12",96600,"402,67",,,,,,,,,,,,,,"0,1","1,408","7,943878386150786","9,306772444153514","-0,03022064996061724"
1900-01-01 15:32:15.924,COM12,,"0,937","0,038","0,052","1,404","-37,476","-0,549","6,064","-79,118","102,426","25,714","81,718","65,598","20,12",96600,"402,67",,,,,,,,,,,,,,"0,1","1,0270000000000001","6,118580739380597","9,505071682126777","-1,331517066652224"
1900-01-01 15:32:16.024,COM12,,"1,029","0,023","0,129","1,16","-15,991","0,0","7,169","-80,145","102,629","24,856","81,510","67,327","20,07",96599,"402,76",,,,,,,,,,,,,,"0,1","1,1809999999999998","6,803194775938109","9,315636972346267","-0,4004178578251705"
1900-01-01 15:32:16.124,COM12,,"0,969","0,04","0,038","1,404","-31,067","-0,183","12,052","-83,628","99,058","23,946","81,263","69,693","20,11",96600,"402,67",,,,,,,,,,,,,,"0,1","1,047","5,982054755965137","9,485529065677733","-0,6919683119613736"
1900-01-01 15:32:16.225,COM12,,"1,003","0,032","0,042","0,061","-5,371","0,061","15,507","-84,831","97,048","23,374","81,120","71,175","20,14",96599,"402,76",,,,,,,,,,,,,,"0,101","1,077","6,081324043199923","9,335418636275989","-0,43962662456576207"
1900-01-01 15:32:16.325,COM12,,"0,992","0,034","-0,004","0,488","-19,165","0,366","23,78","-86,501","90,148","22,945","81,029","72,410","20,11",96600,"402,67",,,,,,,,,,,,,,"0,1","1,022","5,752741737531226","9,283693404639612","-0,5871246334073714"
